op_index,latency_ms
0,3.629
1,8.118
2,8.988
3,10.006
4,10.536
5,10.325
6,11.260
7,11.868
8,11.868
9,11.868
10,11.809
11,13.554
12,14.084
13,12.317
14,12.945
15,13.616
16,12.987
17,13.616
18,14.327
19,14.327
20,23.801
21,28.708
22,17.960
23,24.727
24,23.923
25,24.697
26,24.697
27,25.953
28,24.697
29,24.697
30,18.465
31,23.923
32,24.697
33,24.697
34,24.697
35,24.697
36,24.697
37,24.697
38,24.697
39,24.697
40,24.697
41,20.159
42,25.233
43,29.741
44,30.247
45,26.481
46,30.345
47,31.384
48,27.504
49,27.504
50,26.968
51,28.764
52,26.194
53,33.269
54,29.503
55,30.140
56,29.420
57,28.884
58,33.906
59,34.675
60,35.231
61,29.653
62,30.170
63,25.647
64,37.157
65,38.847
66,32.640
67,32.461
68,38.257
69,35.710
70,39.493
71,38.431
72,40.293
73,40.506
74,40.633
75,40.633
76,36.117
77,42.335
78,36.757
79,37.948
80,37.174
81,38.639
82,43.156
83,43.786
84,33.037
85,37.095
86,44.812
87,41.585
88,39.016
89,40.499
90,47.695
91,48.338
92,43.048
93,53.496
94,50.236
95,49.515
96,50.236
97,48.980
98,48.980
99,50.034
100,43.267
101,50.034
102,55.047
103,50.024
104,54.541
105,50.560
106,50.560
107,50.560
108,49.251
109,49.251
110,44.364
111,44.364
112,48.422
113,44.913
114,51.680
115,51.680
116,51.680
117,48.970
118,48.970
119,44.913
120,44.913
121,46.621
122,45.443
123,53.470
124,50.901
125,45.443
126,46.621
127,45.977
128,45.977
129,52.744
130,52.209
131,45.977
132,52.744
133,52.744
134,45.977
135,54.004
136,45.977
137,45.977
138,52.209
139,51.435
140,52.744
141,52.744
142,52.744
143,57.403
144,47.832
145,57.403
146,46.654
147,48.348
148,46.654
149,47.832
150,52.112
151,46.654
152,46.654
153,46.654
154,46.654
155,52.886
156,46.654
157,47.832
158,46.654
159,48.370
160,47.192
161,48.886
162,53.960
163,47.192
164,53.424
165,48.370
166,59.002
167,53.424
168,48.370
169,47.192
170,57.941
171,52.650
172,47.192
173,53.960
174,47.192
175,57.941
176,47.192
177,48.370
178,53.998
179,53.998
180,47.766
181,53.998
182,47.766
183,47.766
184,47.766
185,48.944
186,47.766
187,47.766
188,49.991
189,55.065
190,55.065
191,49.991
192,55.065
193,55.065
194,55.065
195,56.325
196,49.475
197,51.019
198,49.475
199,54.278
200,59.568
201,49.998
202,55.587
203,55.587
204,59.568
205,55.587
206,55.587
207,58.263
208,25.398
209,55.587
210,48.820
211,55.587
212,50.514
213,51.038
214,52.212
215,49.490
216,54.948
217,49.490
218,49.490
219,60.853
220,55.562
221,50.104
222,55.562
223,60.853
224,55.562
225,54.162
226,50.104
227,50.104
228,51.798
229,50.104
230,51.282
231,52.322
232,50.803
233,27.382
234,52.497
235,28.151
236,59.503
237,51.981
238,50.803
239,56.261
240,51.981
241,51.981
242,27.382
243,56.261
244,51.981
245,61.552
246,57.571
247,57.571
248,51.474
249,58.242
250,26.346
251,57.452
252,51.994
253,51.994
254,53.171
255,57.452
256,53.688
257,28.055
258,57.452
259,51.994
260,53.688
261,34.033
262,53.171
263,51.994
264,58.761
265,58.761
266,59.384
267,53.794
268,58.074
269,58.848
270,59.384
271,59.384
272,29.964
273,54.310
274,52.616
275,52.616
276,52.616
277,52.616
278,26.207
279,59.914
280,54.841
281,54.324
282,35.186
283,55.877
284,54.837
285,54.837
286,59.118
287,53.660
288,55.354
289,54.837
290,60.427
291,53.660
292,55.354
293,53.660
294,59.892
295,55.354
296,59.118
297,53.660
298,54.837
299,59.892
300,61.115
301,61.115
302,54.348
303,54.348
304,27.939
305,56.566
306,56.566
307,58.932
308,54.875
309,56.052
310,54.875
311,36.409
312,60.333
313,65.623
314,54.875
315,60.333
316,65.623
317,37.306
318,56.052
319,65.623
320,55.462
321,36.996
322,56.640
323,55.462
324,37.502
325,60.920
326,55.462
327,56.640
328,66.755
329,56.007
330,56.007
331,63.495
332,57.185
333,28.324
334,56.007
335,60.065
336,56.579
337,56.579
338,62.037
339,63.346
340,57.757
341,29.575
342,62.571
343,59.331
344,67.861
345,30.110
346,58.807
347,57.113
348,63.880
349,63.880
350,62.571
351,27.861
352,57.653
353,64.420
354,57.653
355,63.111
356,57.653
357,57.653
358,39.187
359,63.111
360,59.347
361,63.111
362,58.831
363,58.831
364,63.885
365,57.653
366,59.347
367,59.347
368,57.653
369,57.653
370,58.831
371,27.768
372,57.653
373,58.831
374,63.885
375,57.653
376,57.653
377,39.187
378,57.653
379,59.347
380,29.970
381,58.177
382,64.409
383,59.915
384,65.504
385,64.195
386,65.504
387,30.253
388,59.915
389,64.969
390,40.271
391,58.737
392,59.915
393,60.955
394,60.431
395,58.737
396,58.737
397,40.271
398,28.852
399,64.969
400,59.915
401,28.872
402,60.575
403,61.091
404,62.119
405,28.872
406,59.397
407,60.575
408,66.735
409,64.906
410,61.145
411,59.967
412,32.284
413,70.715
414,62.386
415,65.630
416,60.692
417,60.692
418,61.870
419,60.692
420,67.459
421,61.870
422,62.484
423,31.421
424,68.074
425,62.484
426,67.538
427,66.764
428,72.055
429,61.941
430,43.475
431,68.173
432,63.119
433,63.119
434,67.399
435,61.941
436,68.173
437,43.475
438,64.158
439,61.941
440,69.285
441,63.696
442,64.212
443,62.518
444,62.518
445,62.518
446,69.285
447,30.633
448,62.533
449,44.575
450,69.808
451,69.808
452,70.529
453,64.219
454,63.047
455,69.012
456,69.786
457,65.772
458,63.554
459,63.554
460,70.322
461,69.542
462,45.618
463,63.576
464,63.576
465,70.851
466,70.851
467,65.261
468,63.576
469,64.084
470,70.104
471,64.646
472,65.823
473,66.429
474,33.535
475,66.945
476,65.251
477,65.993
478,47.527
479,72.760
480,72.760
481,65.486
482,72.225
483,65.993
484,68.715
485,72.760
486,71.451
487,66.576
488,66.068
489,66.576
490,66.576
491,48.110
492,68.270
493,77.324
494,34.859
495,66.068
496,72.808
497,72.808
498,71.139
499,73.343
500,68.307
501,67.129
502,73.882
503,67.650
504,67.650
505,69.396
506,74.450
507,35.180
508,70.030
509,71.834
510,70.795
511,70.795
512,51.151
513,70.767
514,70.767
515,70.259
516,70.767
517,72.449
518,77.503
519,71.271
520,78.759
521,70.764
522,78.039
523,70.764
524,72.449
525,71.886
526,79.374
527,71.886
528,79.374
529,84.324
530,71.886
531,73.063
532,79.374
533,71.886
534,78.683
535,77.014
536,75.173
537,79.939
538,79.218
539,78.683
540,72.451
541,79.218
542,74.669
543,74.145
544,79.218
545,72.451
546,39.413
547,38.893
548,53.985
549,71.944
550,74.203
551,73.025
552,74.203
553,80.513
554,73.025
555,79.792
556,72.518
557,78.483
558,41.135
559,73.543
560,73.543
561,39.985
562,55.078
563,75.115
564,80.169
565,80.705
566,75.631
567,79.395
568,73.937
569,76.659
570,73.937
571,73.937
