op_index,latency_ms
0,5.168
1,6.377
2,4.137
3,5.168
4,2.440
5,1.757
6,4.137
7,2.440
8,4.137
9,2.440
10,2.946
11,4.556
12,2.440
13,1.757
14,1.757
15,1.222
16,5.777
17,5.168
18,1.757
19,2.946
20,1.757
21,2.440
22,18.599
23,5.777
24,5.168
25,1.757
26,4.137
27,18.599
28,2.440
29,2.440
30,5.168
31,1.757
32,1.757
33,1.757
34,2.440
35,2.440
36,1.757
37,1.757
38,1.222
39,3.098
40,18.752
41,2.415
42,1.880
43,19.794
44,6.362
45,2.952
46,2.952
47,14.231
48,8.796
49,6.362
50,2.417
51,2.952
52,3.635
53,19.794
54,9.430
55,6.362
56,20.500
57,3.658
58,12.089
59,7.069
60,10.696
61,6.038
62,10.144
63,35.734
64,29.872
65,10.764
66,17.960
67,16.180
68,15.112
69,21.684
70,15.652
71,15.652
72,14.951
73,22.224
74,11.162
75,11.771
76,16.182
77,16.182
78,15.480
79,15.480
80,17.249
81,16.737
82,15.361
83,11.734
84,12.943
85,15.361
86,21.457
87,14.168
88,12.943
89,18.383
90,17.871
91,18.383
92,15.922
93,16.549
94,17.941
95,16.549
96,17.240
97,20.790
98,18.472
99,19.540
100,16.520
101,18.303
102,17.611
103,20.649
104,19.004
105,17.611
106,17.052
107,19.518
108,15.707
109,18.125
110,17.978
111,19.229
112,20.525
113,19.133
114,20.354
115,21.611
116,19.663
117,13.308
118,19.663
119,19.738
120,13.260
121,22.758
122,20.297
123,22.246
124,20.897
125,21.588
126,22.290
127,21.588
128,19.805
129,23.491
130,22.935
131,20.983
132,20.983
133,22.233
134,23.491
135,21.542
136,22.935
137,20.983
138,19.805
139,22.837
140,22.146
141,21.587
142,22.669
143,24.061
144,22.669
145,22.109
146,22.109
147,22.669
148,22.669
149,23.098
150,24.202
151,30.077
152,31.962
153,41.075
154,35.512
155,30.711
156,28.799
157,39.781
158,18.097
159,18.097
160,31.258
161,41.621
162,18.097
163,28.799
164,24.779
165,24.244
166,33.839
167,25.409
168,24.874
169,29.428
170,39.189
171,41.058
172,33.094
173,24.298
174,33.094
175,24.298
176,24.298
177,24.298
178,24.298
179,24.298
180,23.104
181,23.104
182,24.298
183,22.397
184,23.104
185,33.094
186,17.110
187,27.305
188,23.670
189,23.670
190,33.711
191,23.574
192,25.475
193,23.045
194,25.475
195,43.027
196,44.075
197,23.574
198,23.574
199,23.574
200,20.551
201,20.551
202,35.663
203,20.551
204,24.280
205,25.475
206,25.475
207,23.574
208,18.318
209,24.877
210,20.608
211,27.294
212,26.072
213,44.672
214,43.624
215,28.512
216,26.651
217,45.251
218,25.456
219,25.456
220,24.750
221,21.187
222,24.750
223,26.651
224,25.456
225,25.456
226,26.651
227,21.727
228,36.839
229,35.446
230,44.819
231,26.073
232,24.837
233,36.063
234,27.862
235,26.667
236,29.619
237,25.961
238,26.667
239,26.667
240,25.431
241,25.431
242,38.605
243,26.667
244,26.667
245,22.937
246,26.667
247,25.961
248,26.667
249,23.479
250,28.403
251,35.987
252,28.929
253,27.734
254,21.175
255,27.734
256,27.734
257,43.820
258,20.113
259,28.929
260,26.499
261,28.929
262,28.246
263,27.539
264,21.201
265,37.075
266,27.587
267,28.116
268,28.823
269,25.093
270,37.619
271,28.823
272,40.205
273,21.201
274,28.823
275,28.823
276,25.093
277,30.017
278,21.201
279,28.823
280,28.116
281,27.587
282,21.733
283,37.619
284,28.823
285,28.823
286,28.823
287,28.823
288,29.503
289,28.268
290,25.774
291,29.503
292,29.503
293,21.368
294,38.934
295,28.268
296,28.797
297,29.336
298,30.042
299,23.483
300,28.807
301,30.042
302,30.042
303,31.237
304,21.907
305,30.703
306,30.703
307,30.703
308,22.567
309,29.996
310,29.996
311,30.703
312,30.703
313,24.173
314,31.262
315,32.457
316,25.330
317,41.280
318,23.302
319,33.044
320,33.044
321,24.228
