clients,avg_ms,p50,p95,p99,throughput,errors,total
2,2.77,2.00,4.00,7.00,245.00,0,1225
4,2.78,2.00,4.00,6.00,466.20,0,2331
6,3.29,3.00,5.00,7.00,592.00,0,2960
8,4.80,4.00,8.00,10.00,640.20,0,3201
10,6.61,6.00,11.00,14.00,646.20,0,3231
12,9.71,9.00,17.00,24.00,622.80,0,3114
14,9.36,7.00,21.00,33.00,917.40,3006,4587
15,5.71,6.00,9.00,11.00,1046.80,3910,5234
16,7.52,7.00,13.00,16.00,1003.80,3704,5019
18,6.98,7.00,12.00,14.00,1002.00,3685,5010
19,7.15,7.00,12.00,18.00,1005.40,3707,5027
20,7.73,7.00,14.00,19.00,972.40,3707,4862
